date,Taiwan,Local,Imported,Deaths,Recovered,Panshi,tbd
2020-01-22,1,0,1,0,0,0,0
2020-01-23,1,0,1,0,0,0,0
2020-01-24,3,0,3,0,0,0,0
2020-01-25,3,0,3,0,0,0,0
2020-01-26,4,0,4,0,0,0,0
2020-01-27,5,0,5,0,0,0,0
2020-01-28,8,1,7,0,0,0,0
2020-01-29,8,1,7,0,0,0,0
2020-01-30,9,2,7,0,0,0,0
2020-01-31,10,2,8,0,0,0,0
2020-02-01,10,2,8,0,0,0,0
2020-02-02,10,2,8,0,0,0,0
2020-02-03,10,2,8,0,0,0,0
2020-02-04,11,2,9,0,0,0,0
2020-02-05,11,2,9,0,0,0,0
2020-02-06,16,2,14,0,1,0,0
2020-02-07,16,2,14,0,1,0,0
2020-02-08,17,2,15,0,1,0,0
2020-02-09,18,2,16,0,1,0,0
2020-02-10,18,2,16,0,1,0,0
2020-02-11,18,2,16,0,1,0,0
2020-02-12,18,2,16,0,1,0,0
2020-02-13,18,2,16,0,1,0,0
2020-02-14,18,2,16,0,2,0,0
2020-02-15,18,2,16,0,2,0,0
2020-02-16,20,4,16,1,2,0,0
2020-02-17,22,6,16,1,2,0,0
2020-02-18,22,6,16,1,2,0,0
2020-02-19,24,8,16,1,2,0,0
2020-02-20,24,8,16,1,2,0,0
2020-02-21,26,10,16,1,2,0,0
2020-02-22,26,10,16,1,2,0,0
2020-02-23,28,12,16,1,2,0,0
2020-02-24,30,14,16,1,5,0,0
2020-02-25,31,15,16,1,5,0,0
2020-02-26,32,16,16,1,5,0,0
2020-02-27,32,16,16,1,5,0,0
2020-02-28,34,18,16,1,6,0,0
2020-02-29,39,22,17,1,9,0,0
2020-03-01,40,22,18,1,9,0,0
2020-03-02,41,23,18,1,12,0,0
2020-03-03,42,24,18,1,12,0,0
2020-03-04,42,24,18,1,12,0,0
2020-03-05,44,25,19,1,12,0,0
2020-03-06,45,26,19,1,12,0,0
2020-03-07,45,26,19,1,12,0,0
2020-03-08,45,26,19,1,13,0,0
2020-03-09,45,26,19,1,15,0,0
2020-03-10,47,27,20,1,17,0,0
2020-03-11,48,27,21,1,17,0,0
2020-03-12,49,27,22,1,20,0,0
2020-03-13,50,28,22,1,20,0,0
2020-03-14,53,28,25,1,20,0,0
2020-03-15,59,28,31,1,20,0,0
2020-03-16,67,28,39,1,20,0,0
2020-03-17,77,28,49,1,22,0,0
2020-03-18,100,29,71,1,22,0,0
2020-03-19,108,30,78,1,26,0,0
2020-03-20,135,33,102,2,26,0,0
2020-03-21,153,33,120,2,28,0,0
2020-03-22,169,36,133,2,28,0,0
2020-03-23,195,37,158,2,28,0,0
2020-03-24,216,38,178,2,28,0,0
2020-03-25,235,38,197,2,28,0,0
2020-03-26,252,40,212,2,29,0,0
2020-03-27,267,40,227,2,30,0,0
2020-03-28,283,42,241,2,30,0,0
2020-03-29,298,43,255,3,30,0,0
2020-03-30,306,44,262,5,39,0,0
2020-03-31,322,46,276,5,39,0,0
2020-04-01,329,46,283,5,45,0,0
2020-04-02,339,48,291,5,50,0,0
2020-04-03,348,50,298,5,50,0,0
2020-04-04,355,51,304,5,50,0,0
2020-04-05,363,51,312,5,54,0,0
2020-04-06,373,52,321,5,54,0,0
2020-04-07,376,52,324,5,61,0,0
2020-04-08,379,53,326,5,67,0,0
2020-04-09,380,54,326,5,80,0,0
2020-04-10,382,54,328,6,91,0,0
2020-04-11,385,54,331,6,99,0,0
2020-04-12,388,55,333,6,109,0,0
2020-04-13,393,55,338,6,114,0,0
2020-04-14,393,55,338,6,124,0,0
2020-04-15,395,55,340,6,137,0,0
2020-04-16,395,55,340,6,155,0,0
2020-04-17,395,55,340,6,166,0,0
2020-04-18,398,55,340,6,166,3,0
2020-04-19,420,55,341,6,166,24,0
2020-04-20,422,55,343,6,203,24,0
2020-04-21,425,55,343,6,217,27,0
2020-04-22,426,55,343,6,217,28,0
2020-04-23,427,55,343,6,217,29,0
2020-04-24,428,55,343,6,264,30,0
2020-04-25,429,55,343,6,275,31,0
2020-04-26,429,55,343,6,275,31,0
2020-04-27,429,55,343,6,290,31,0
2020-04-28,429,55,343,6,290,31,0
2020-04-29,429,55,343,6,290,31,0
2020-04-30,429,55,343,6,322,31,0
2020-05-01,429,55,343,6,324,31,0
2020-05-02,432,55,346,6,324,31,0
2020-05-03,432,55,346,6,332,31,0
2020-05-04,437,55,347,6,334,35,0
2020-05-05,438,55,347,6,334,36,0
2020-05-06,439,55,348,6,339,36,0
2020-05-07,440,55,349,6,347,36,0
2020-05-08,440,55,349,6,355,36,0
2020-05-09,440,55,349,6,355,36,0
2020-05-10,440,55,349,6,366,36,0
2020-05-11,440,55,349,7,368,36,0
2020-05-12,440,55,349,7,372,36,0
2020-05-13,440,55,349,7,372,36,0
2020-05-14,440,55,349,7,383,36,0
2020-05-15,440,55,349,7,387,36,0
2020-05-16,440,55,349,7,389,36,0
2020-05-17,440,55,349,7,395,36,0
2020-05-18,440,55,349,7,398,36,0
2020-05-19,440,55,349,7,401,36,0
2020-05-20,440,55,349,7,402,36,0
2020-05-21,441,55,350,7,407,36,0
2020-05-22,441,55,350,7,408,36,0
2020-05-23,441,55,350,7,411,36,0
2020-05-24,441,55,350,7,411,36,0
2020-05-25,441,55,350,7,415,36,0
2020-05-26,441,55,350,7,416,36,0
2020-05-27,441,55,350,7,419,36,0
2020-05-28,441,55,350,7,420,36,0
2020-05-29,442,55,351,7,420,36,0
2020-05-30,442,55,351,7,420,36,0
2020-05-31,442,55,351,7,422,36,0
2020-06-01,443,55,352,7,427,36,0
2020-06-02,443,55,352,7,427,36,0
2020-06-03,443,55,352,7,428,36,0
2020-06-04,443,55,352,7,428,36,0
2020-06-05,443,55,352,7,429,36,0
2020-06-06,443,55,352,7,429,36,0
2020-06-07,443,55,352,7,430,36,0
2020-06-08,443,55,352,7,430,36,0
2020-06-09,443,55,352,7,431,36,0
2020-06-10,443,55,352,7,431,36,0
2020-06-11,443,55,352,7,431,36,0
2020-06-12,443,55,352,7,431,36,0
2020-06-13,443,55,352,7,431,36,0
2020-06-14,443,55,352,7,431,36,0
2020-06-15,445,55,354,7,433,36,0
2020-06-16,445,55,354,7,433,36,0
2020-06-17,445,55,354,7,434,36,0
2020-06-18,446,55,355,7,434,36,0
2020-06-19,446,55,355,7,434,36,0
2020-06-20,446,55,355,7,434,36,0
2020-06-21,446,55,355,7,434,36,0
2020-06-22,446,55,355,7,435,36,0
2020-06-23,446,55,355,7,435,36,0
2020-06-24,446,55,355,7,435,36,0
2020-06-25,447,55,356,7,435,36,0
2020-06-26,447,55,356,7,435,36,0
2020-06-27,447,55,356,7,435,36,0
2020-06-28,447,55,356,7,435,36,0
2020-06-29,447,55,356,7,435,36,0
2020-06-30,447,55,356,7,437,36,0
2020-07-01,447,55,356,7,438,36,0
2020-07-02,448,55,357,7,438,36,0
2020-07-03,449,55,358,7,438,36,0
2020-07-04,449,55,358,7,438,36,0
2020-07-05,449,55,358,7,438,36,0
2020-07-06,449,55,358,7,438,36,0
2020-07-07,449,55,358,7,438,36,0
2020-07-08,449,55,358,7,438,36,0
2020-07-09,449,55,358,7,438,36,0
2020-07-10,449,55,360,7,438,36,0
2020-07-11,451,55,360,7,438,36,0
2020-07-12,451,55,360,7,438,36,0
2020-07-13,451,55,360,7,438,36,0
2020-07-14,451,55,360,7,440,36,0
2020-07-15,451,55,360,7,440,36,0
2020-07-16,452,55,361,7,440,36,0
2020-07-17,454,55,363,7,440,36,0
2020-07-18,454,55,363,7,440,36,0
2020-07-19,455,55,364,7,440,36,0
2020-07-20,455,55,364,7,440,36,0
2020-07-21,455,55,364,7,440,36,0
2020-07-22,455,55,364,7,440,36,0
2020-07-23,455,55,364,7,440,36,0
2020-07-24,458,55,367,7,440,36,0
2020-07-25,458,55,367,7,440,36,0
2020-07-26,458,55,367,7,440,36,0
2020-07-27,462,55,371,7,440,36,0
2020-07-28,467,55,376,7,440,36,0
2020-07-29,467,55,376,7,440,36,0
2020-07-30,467,55,376,7,440,36,0
2020-07-31,467,55,376,7,440,36,0
2020-08-01,474,55,382,7,441,36,1
2020-08-02,475,55,383,7,441,36,1
2020-08-03,475,55,383,7,441,36,1
2020-08-04,476,55,384,7,441,36,1
2020-08-05,476,55,384,7,441,36,1
2020-08-06,477,55,385,7,441,36,1
2020-08-07,477,55,385,7,441,36,1
2020-08-08,479,55,387,7,441,36,1
2020-08-09,480,55,388,7,443,36,1
2020-08-10,480,55,388,7,443,36,1
2020-08-11,480,55,388,7,443,36,1
2020-08-12,481,55,389,7,450,36,1
2020-08-13,481,55,389,7,450,36,1
2020-08-14,481,55,389,7,450,36,1
